gene,log2FC,pvalue,neglog10p
UQCRHL,0.0085073425354724,2.1204331992072888e-06,5.673554923808062
AL450998.2,0.16469498487283896,1.2884647633621456e-96,10.0
SPEN,0.5058517389252207,1.2950378875793907e-257,10.0
ZBTB17,0.0712145378063157,2.731370883960421e-31,10.0
HSPB7,0.0005067780359666805,0.4791326659474235,0.31954421903848457
CLCNKA,0.006839328141151552,2.9635810919982517e-05,4.528181719295828
CLCNKB,0.00618508886268213,0.0009032441661897878,3.0441947866600665
FAM131C,0.0005065856129685917,0.15732549492643716,0.8032008930658616
EPHA2,0.09775327534844683,9.544817109125655e-46,10.0
AL451042.2,0.018323676755878544,3.343318464811433e-14,9.999854825790777
AL451042.1,0.008359175741976668,2.2397258187796627e-06,5.649785753489092
ARHGEF19,0.14879211244327667,6.320104592420845e-72,10.0
AL109627.1,0.007345876234040758,5.573585266514489e-06,5.253857558564078
CPLANE2,0.007747399975020148,5.430840876261939e-06,5.265124925112538
FBXO42,0.456501452134333,1.0879443841981324e-241,10.0
SZRD1,0.18584340319087417,5.368338498243171e-94,10.0
SPATA21,0.002131762548939767,0.05020825875044078,1.2992248390669408
NECAP2,0.1258457961989437,1.1752139503167693e-57,10.0
LINC01772,0.005827402215122242,0.007593516379478331,2.119557060209116
AL137802.2,0.004305977710233029,3.67893314844965e-05,4.43427692336903
LINC01783,0.00202640659287373,0.01136395926251538,1.9444703279820905
NBPF1,0.5789382962668362,0.0,10.0
AL137798.2,0.006332897431101663,0.00013132009754219257,3.881668472642213
AL021920.1,0.0022796993993580254,0.006620457901354805,2.179111965155352
AL021920.3,0.006839290621072165,1.4563470425517894e-05,4.836732139720144
CROCC,0.27385992172710183,2.460117605228181e-136,10.0
BX284668.1,0.0005066497539679547,0.3171649438960121,0.49871482094599107
BX284668.2,0.002174701668368189,0.029127189626396578,1.5357014153103585
BX284668.5,0.06381870928559712,5.981761725971744e-42,10.0
BX284668.6,0.0010131712259371835,0.04548657234186341,1.3421167874098325
MFAP2,-0.0012660150454259387,0.09547948070406956,1.0200899512545236
